Full Name,Affiliation,Web Profile,Research Fields,Research Areas,Position,Department,Faculty,Campus,wikidata
Marwan Hassan,University of British Columbia,https://www.geog.ubc.ca/persons/marwan-hassan/,"Stream and Riparian Research,Water,Fish / Fisheries,channel dynamics","sediment transport,channel stability and channel morphology,Riparian management Strategies,Hydrological Indicators,Land use and sediment yield,Salmon bioturbation,stream processes,Modeling,land use and sediment yield",Professor,Geography,Arts,Vancouver,
Nadja Kunz,University of British Columbia,https://sppga.ubc.ca/profile/nadja-kunz/,"Mining,Water,Water stewardship,water risks,Sustainability,Engineering,Climate,energy and water nexus,spatial scale,Climate Change","water resources,environmental governance,climate change adaptation,sustainable design",Assistant Professor,"School of Public Policy and Global Affairs (SPPGA),Norman B Keevil Institute of Mining Engineering","Applied Sciences,Arts",Vancouver,
Natalie Prystajecky,University of British Columbia,https://pathology.ubc.ca/faculty/natalie-prystajecky/,"environmental microbiology,Water","Public health,environmental microbiology,drinking water,food quality,genomics,molecular diagnostics",Assistant Professor,Pathology and Laboratory Medicine,Medicine,Vancouver,
Nicolas Peleato,University of British Columbia,https://engineering.ok.ubc.ca/about/contact/nicolas-peleato/,"Applications of Machine Learning Methods,Engineering,Water","drinking water,water treatment and quality,Water quality assessment and treatment,integrated data analysis,machine learning",Assistant Professor,School of Engineering,Applied Sciences,Okanagan,
Pierre Bérubé,University of British Columbia,https://www.civil.ubc.ca/faculty/pierre-berube,"Engineering,Environment,Water","Water quality assessment and treatment,membrane and other filtration related technologies,focus on potable water and seawater",Professor,Civil Engineering,Applied Sciences,Vancouver,
Rehan Sadiq,University of British Columbia,https://engineering.ok.ubc.ca/about/contact/rehan-sadiq/,"Engineering,Environment,Water","Environmental risk analysis,water supply systems,life cycle assessment,infrastructure reliability",Professor and Associate Dean,School of Engineering,Applied Sciences,Okanagan,
Ryan Ziels,University of British Columbia,https://www.zielslab.com/,,Biological treatment, wastewater, environmental biotechnology, microbial ecology, bioinformatics,ziels@mail.ubc.ca
Steven Conrad,University of British Columbia,http://ires.ubc.ca/person/steven-conrad/,"decision-making,energy water system management and planning,energy and water efficiency,urban system resilience,and climate adaptation,Engineering","Water-Energy nexus,coupled socio-hydrological energy modelling,decision support for climate change adaptation,water resources,Urban design,sustainable design,Urban water systems,environmental policy",Adjunct Professor,Institute for Resources Environment and Sustainability,Sciences,Vancouver,
Steven Weijs,University of British Columbia,https://www.civil.ubc.ca/faculty/steven-weijs,"Water Resources Management,Mountain Hydrology,Catchment Hydrology,Flood Forecasting,Uncertainty,Information Theory,Control of Water Systems,Physics","hydrologic modelling,Hydrotechnical Engineering,dynamics of uncertainty",Assistant Professor,Civil Engineering,Applied Sciences,Vancouver,
Valentina Radić,University of British Columbia,https://www.eoas.ubc.ca/people/valentinaradic,"Models of Surface Energy Balance and Climate Downscaling,Assessment of Turbulent Heat Fluxes under Katabatics,Applications of Machine Learning Methods","Big data,regional and global mass balance models,dynamics of uncertainty,Climate models",Associate Professor,Earth Ocean and Atmospheric Sciences,Applied Sciences,Vancouver,
